Nu1,,,,,,,,,,,,,,,,,
Nu1,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu1,Nu1,,Linear,1/X,Ignore,Y = 260.778+58354.7*X   R^2 = 0.9973,,,,,,,,,,,
Nu1,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,5961515,NA,NA,100.000,102.156,2%,2.6%,Response High,1,,9.52,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,5761277,NA,NA,100.000,98.724,-1%,2.6%,,1,,9.52,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,5681270,NA,NA,100.000,97.353,-3%,2.6%,,1,,9.53,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,5698538,NA,NA,100.000,97.649,-2%,2.6%,,1,,9.56,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,5720971,NA,NA,100.000,98.033,-2%,2.6%,,1,,9.55,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,5718345,NA,NA,100.000,97.988,-2%,2.6%,,1,,9.54,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,5569977,NA,NA,100.000,95.446,-5%,2.6%,,1,,9.59,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,5403430,NA,NA,100.000,92.592,-7%,2.6%,,1,,9.59,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,5683666,NA,NA,100.000,97.394,-3%,2.6%,,1,,9.59,CalA,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,3197490,NA,NA,50.000,54.790,10%,5.4%,,2,,9.51,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,3220717,NA,NA,50.000,55.188,10%,5.4%,,2,,9.50,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,3184073,NA,NA,50.000,54.560,9%,5.4%,,2,,9.50,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,2997408,NA,NA,50.000,51.361,3%,5.4%,,2,,9.55,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,3003535,NA,NA,50.000,51.466,3%,5.4%,,2,,9.56,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,2976243,NA,NA,50.000,50.998,2%,5.4%,,2,,9.56,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,2862231,NA,NA,50.000,49.044,-2%,5.4%,,2,,9.59,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,2835595,NA,NA,50.000,48.588,-3%,5.4%,,2,,9.59,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,2791862,NA,NA,50.000,47.838,-4%,5.4%,,2,,9.59,CalB,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,656186,NA,NA,10.000,11.240,12%,3.7%,,3,,9.55,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,655556,NA,NA,10.000,11.230,12%,3.7%,,3,,9.54,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,663842,NA,NA,10.000,11.372,14%,3.7%,,3,,9.53,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,620913,NA,NA,10.000,10.636,6%,3.7%,,3,,9.53,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,628360,NA,NA,10.000,10.763,8%,3.7%,,3,,9.53,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,628853,NA,NA,10.000,10.772,8%,3.7%,,3,,9.55,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,600697,NA,NA,10.000,10.289,3%,3.7%,,3,,9.58,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,602740,NA,NA,10.000,10.324,3%,3.7%,,3,,9.58,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,613199,NA,NA,10.000,10.504,5%,3.7%,,3,,9.58,CalC,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,71327,NA,NA,1.000,1.218,22%,2.2%,,4,,9.56,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,73391,NA,NA,1.000,1.253,25%,2.2%,,4,,9.55,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,73077,NA,NA,1.000,1.248,25%,2.2%,,4,,9.55,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,70112,NA,NA,1.000,1.197,20%,2.2%,,4,,9.55,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,70879,NA,NA,1.000,1.210,21%,2.2%,,4,,9.54,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,70328,NA,NA,1.000,1.201,20%,2.2%,,4,,9.54,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,69929,NA,NA,1.000,1.194,19%,2.2%,,4,,9.57,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,68907,NA,NA,1.000,1.176,18%,2.2%,,4,,9.57,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,69228,NA,NA,1.000,1.182,18%,2.2%,,4,,9.58,CalD,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,30603,NA,NA,0.500,0.520,4%,3.7%,,5,,9.56,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,28955,NA,NA,0.500,0.492,-2%,3.7%,,5,,9.57,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,29165,NA,NA,0.500,0.495,-1%,3.7%,,5,,9.56,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,28260,NA,NA,0.500,0.480,-4%,3.7%,,5,,9.56,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,29467,NA,NA,0.500,0.500,0%,3.7%,,5,,9.56,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,28626,NA,NA,0.500,0.486,-3%,3.7%,,5,,9.54,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,28798,NA,NA,0.500,0.489,-2%,3.7%,,5,,9.56,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,26818,NA,NA,0.500,0.455,-9%,3.7%,,5,,9.57,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,27752,NA,NA,0.500,0.471,-6%,3.7%,,5,,9.58,CalE,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_01,Std Bracket Sample,,Method Settings,6594,NA,NA,0.100,0.109,9%,7.4%,,6,,9.55,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_02,Std Bracket Sample,,Method Settings,6626,NA,NA,0.100,0.109,9%,7.4%,,6,,9.53,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_03,Std Bracket Sample,,Method Settings,6482,NA,NA,0.100,0.107,7%,7.4%,,6,,9.56,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_04,Std Bracket Sample,,Method Settings,5353,NA,NA,0.100,0.087,-13%,7.4%,,6,,9.54,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_05,Std Bracket Sample,,Method Settings,5847,NA,NA,0.100,0.096,-4%,7.4%,,6,,9.54,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_06,Std Bracket Sample,,Method Settings,5903,NA,NA,0.100,0.097,-3%,7.4%,,6,,9.56,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_07,Std Bracket Sample,,Method Settings,5630,NA,NA,0.100,0.092,-8%,7.4%,,6,,9.55,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_08,Std Bracket Sample,,Method Settings,5880,NA,NA,0.100,0.096,-4%,7.4%,,6,,9.57,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalF_09,Std Bracket Sample,,Method Settings,5962,NA,NA,0.100,0.098,-2%,7.4%,,6,,9.56,CalF,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_01,Std Bracket Sample,,Method Settings,3206,NA,NA,0.050,0.050,1%,7.1%,,7,,9.56,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_02,Std Bracket Sample,,Method Settings,3197,NA,NA,0.050,0.050,1%,7.1%,,7,,9.54,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_03,Std Bracket Sample,,Method Settings,2666,NA,NA,0.050,0.041,-18%,7.1%,,7,,9.53,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_04,Std Bracket Sample,,Method Settings,2723,NA,NA,0.050,0.042,-16%,7.1%,,7,,9.52,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_05,Std Bracket Sample,,Method Settings,2977,NA,NA,0.050,0.047,-7%,7.1%,,7,,9.53,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_06,Std Bracket Sample,,Method Settings,2912,NA,NA,0.050,0.045,-9%,7.1%,,7,,9.54,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_07,Std Bracket Sample,,Method Settings,2965,NA,NA,0.050,0.046,-7%,7.1%,,7,,9.55,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_08,Std Bracket Sample,,Method Settings,2986,NA,NA,0.050,0.047,-7%,7.1%,,7,,9.57,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalG_09,Std Bracket Sample,,Method Settings,2644,NA,NA,0.050,0.041,-18%,7.1%,,7,,9.56,CalG,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_01,Std Bracket Sample,,Method Settings,804,NA,NA,0.010,0.009,-7%,45.4%,Response Low,8,,9.58,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_02,Std Bracket Sample,,Method Settings,817,NA,NA,0.010,0.010,-5%,45.4%,Response Low,8,,9.59,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_03,Std Bracket Sample,,Method Settings,755,NA,NA,0.010,0.008,-15%,45.4%,Response Low,8,,9.60,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_04,Std Bracket Sample,,Method Settings,925,NA,NA,0.010,0.011,14%,45.4%,,8,,9.55,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_05,Std Bracket Sample,,Method Settings,809,NA,NA,0.010,0.009,-6%,45.4%,Response Low,8,,9.54,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_06,Std Bracket Sample,,Method Settings,849,NA,NA,0.010,0.010,1%,45.4%,,8,,9.56,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_07,Std Bracket Sample,,Method Settings,NF,NA,NF,0.010,NF,NF,NF,Not Found,8,,NF,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_08,Std Bracket Sample,,Method Settings,454,NA,NA,0.010,0.003,-67%,45.4%,Response Low,8,,9.54,CalH,
Nu1,20181029_GM_2O-Me_Exp_Mix19_CalH_09,Std Bracket Sample,,Method Settings,455,NA,NA,0.010,0.003,-67%,45.4%,Response Low,8,,9.53,CalH,
Nu1,20181029_GM_2O-Me_Exp_blank_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
Nu1,20181029_GM_2O-Me_Exp_blank_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,blank,
