Nu17,,,,,,,,,,,,,,,,,
Nu17,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu17,Nu17,,Linear,1/X,Ignore,Y = 45.2899+5117.08*X   R^2 = 0.9994,,,,,,,,,,,
Nu17,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,518235,NA,NA,100.000,101.267,1%,1.4%,Response High,1,,3.82,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,513075,NA,NA,100.000,100.258,0%,1.4%,Response High,1,,3.85,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,504486,NA,NA,100.000,98.580,-1%,1.4%,,1,,3.86,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,510420,NA,NA,100.000,99.739,0%,1.4%,,1,,3.88,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,498448,NA,NA,100.000,97.400,-3%,1.4%,,1,,3.86,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,508728,NA,NA,100.000,99.409,-1%,1.4%,,1,,3.87,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,514346,NA,NA,100.000,100.507,1%,1.4%,Response High,1,,3.92,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,514489,NA,NA,100.000,100.535,1%,1.4%,Response High,1,,3.92,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,498094,NA,NA,100.000,97.331,-3%,1.4%,,1,,3.90,CalA,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,258316,NA,NA,50.000,50.472,1%,2.1%,,2,,3.84,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,271621,NA,NA,50.000,53.072,6%,2.1%,,2,,3.82,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,262215,NA,NA,50.000,51.234,2%,2.1%,,2,,3.82,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,255321,NA,NA,50.000,49.887,0%,2.1%,,2,,3.87,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,255070,NA,NA,50.000,49.838,0%,2.1%,,2,,3.88,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,254129,NA,NA,50.000,49.654,-1%,2.1%,,2,,3.88,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,260372,NA,NA,50.000,50.874,2%,2.1%,,2,,3.91,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,257607,NA,NA,50.000,50.334,1%,2.1%,,2,,3.90,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,258619,NA,NA,50.000,50.532,1%,2.1%,,2,,3.92,CalB,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,50333,NA,NA,10.000,9.827,-2%,3.3%,,3,,3.86,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,52369,NA,NA,10.000,10.225,2%,3.3%,,3,,3.88,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,52837,NA,NA,10.000,10.317,3%,3.3%,,3,,3.87,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,48804,NA,NA,10.000,9.529,-5%,3.3%,,3,,3.85,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,50193,NA,NA,10.000,9.800,-2%,3.3%,,3,,3.86,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,48417,NA,NA,10.000,9.453,-5%,3.3%,,3,,3.87,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,47919,NA,NA,10.000,9.356,-6%,3.3%,,3,,3.89,CalC,
Nu17,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,50641,NA,NA,10.000,9.888,-1%,3.3%,,3,,3.90,CalC,
