Nu10,,,,,,,,,,,,,,,,,
Nu10,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu10,Nu10,,Linear,1/X,Ignore,Y = 79.8233+984.553*X   R^2 = 0.9987,,,,,,,,,,,
Nu10,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,100061,NA,NA,100.000,101.550,2%,2.0%,Response High,1,,6.39,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,98392,NA,NA,100.000,99.855,0%,2.0%,,1,,6.41,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,99367,NA,NA,100.000,100.845,1%,2.0%,Response High,1,,6.42,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,97947,NA,NA,100.000,99.403,-1%,2.0%,,1,,6.45,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,101492,NA,NA,100.000,103.003,3%,2.0%,Response High,1,,6.44,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,96579,NA,NA,100.000,98.013,-2%,2.0%,,1,,6.44,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,95810,NA,NA,100.000,97.232,-3%,2.0%,,1,,6.49,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,99000,NA,NA,100.000,100.472,0%,2.0%,Response High,1,,6.50,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,95755,NA,NA,100.000,97.176,-3%,2.0%,,1,,6.49,CalA,
Nu10,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,50989,NA,NA,50.000,51.708,3%,4.0%,,2,,6.40,CalB,
