Nu19,,,,,,,,,,,,,,,,,
Nu19,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu19,Nu19,,Linear,1/X,Ignore,Y = 39.0646+6956.46*X   R^2 = 0.9993,,,,,,,,,,,
Nu19,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,703340,NA,NA,100.000,101.100,1%,1.1%,Response High,1,,2.31,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,684980,NA,NA,100.000,98.461,-2%,1.1%,,1,,2.32,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,695080,NA,NA,100.000,99.913,0%,1.1%,,1,,2.32,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,698061,NA,NA,100.000,100.341,0%,1.1%,Response High,1,,2.34,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,691250,NA,NA,100.000,99.362,-1%,1.1%,,1,,2.33,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,690412,NA,NA,100.000,99.242,-1%,1.1%,,1,,2.33,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,691086,NA,NA,100.000,99.339,-1%,1.1%,,1,,2.37,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,696251,NA,NA,100.000,100.081,0%,1.1%,Response High,1,,2.37,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,676804,NA,NA,100.000,97.286,-3%,1.1%,,1,,2.37,CalA,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,366366,NA,NA,50.000,52.660,5%,3.9%,,2,,2.32,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,372467,NA,NA,50.000,53.537,7%,3.9%,,2,,2.31,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,370345,NA,NA,50.000,53.232,6%,3.9%,,2,,2.31,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,341846,NA,NA,50.000,49.135,-2%,3.9%,,2,,2.33,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,344561,NA,NA,50.000,49.525,-1%,3.9%,,2,,2.34,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,343704,NA,NA,50.000,49.402,-1%,3.9%,,2,,2.34,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,348328,NA,NA,50.000,50.067,0%,3.9%,,2,,2.36,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,342132,NA,NA,50.000,49.176,-2%,3.9%,,2,,2.36,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,337404,NA,NA,50.000,48.497,-3%,3.9%,,2,,2.37,CalB,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,69316,NA,NA,10.000,9.959,0%,2.2%,,3,,2.33,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,69562,NA,NA,10.000,9.994,0%,2.2%,,3,,2.33,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,72908,NA,NA,10.000,10.475,5%,2.2%,,3,,2.32,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,68667,NA,NA,10.000,9.865,-1%,2.2%,,3,,2.32,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,68841,NA,NA,10.000,9.890,-1%,2.2%,,3,,2.32,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,67792,NA,NA,10.000,9.740,-3%,2.2%,,3,,2.33,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,68147,NA,NA,10.000,9.791,-2%,2.2%,,3,,2.37,CalC,
Nu19,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,68031,NA,NA,10.000,9.774,-2%,2.2%,,3,,2.36,CalC,
