Nu8,,,,,,,,,,,,,,,,,
Nu8,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu8,Nu8,,Linear,1/X,Ignore,Y = 84.9507+9070.56*X   R^2 = 0.9997,,,,,,,,,,,
Nu8,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,918331,NA,NA,100.000,101.234,1%,1.1%,Response High,1,,5.02,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,904915,NA,NA,100.000,99.755,0%,1.1%,,1,,5.04,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,910078,NA,NA,100.000,100.324,0%,1.1%,Response High,1,,5.05,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,902317,NA,NA,100.000,99.468,-1%,1.1%,,1,,5.09,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,912403,NA,NA,100.000,100.580,1%,1.1%,Response High,1,,5.07,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,893937,NA,NA,100.000,98.544,-1%,1.1%,,1,,5.07,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,901788,NA,NA,100.000,99.410,-1%,1.1%,,1,,5.14,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,899126,NA,NA,100.000,99.116,-1%,1.1%,,1,,5.14,CalA,
Nu8,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,886698,NA,NA,100.000,97.746,-2%,1.1%,,1,,5.13,CalA,
