Nu18,,,,,,,,,,,,,,,,,
Nu18,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu18,Nu18,,Linear,1/X,Ignore,Y = 288.576+44073.8*X   R^2 = 0.9940,,,,,,,,,,,
Nu18,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,4490740,NA,NA,100.000,101.885,2%,3.8%,Response High,1,,1.70,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,4319224,NA,NA,100.000,97.993,-2%,3.8%,,1,,1.71,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,4323378,NA,NA,100.000,98.088,-2%,3.8%,,1,,1.71,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,4169184,NA,NA,100.000,94.589,-5%,3.8%,,1,,1.71,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,4102345,NA,NA,100.000,93.072,-7%,3.8%,,1,,1.71,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,4236868,NA,NA,100.000,96.125,-4%,3.8%,,1,,1.71,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,4043812,NA,NA,100.000,91.744,-8%,3.8%,,1,,1.72,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,3997882,NA,NA,100.000,90.702,-9%,3.8%,,1,,1.73,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,4075365,NA,NA,100.000,92.460,-8%,3.8%,,1,,1.72,CalA,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,2447053,NA,NA,50.000,55.515,11%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,2489647,NA,NA,50.000,56.482,13%,4.6%,,2,,1.70,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,2443835,NA,NA,50.000,55.442,11%,4.6%,,2,,1.70,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,2310424,NA,NA,50.000,52.415,5%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,2358994,NA,NA,50.000,53.517,7%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,2322732,NA,NA,50.000,52.694,5%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,2213194,NA,NA,50.000,50.209,0%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,2210944,NA,NA,50.000,50.158,0%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,2231977,NA,NA,50.000,50.635,1%,4.6%,,2,,1.71,CalB,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,525607,NA,NA,10.000,11.919,19%,4.4%,,3,,1.71,CalC,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,538911,NA,NA,10.000,12.221,22%,4.4%,,3,,1.71,CalC,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,537246,NA,NA,10.000,12.183,22%,4.4%,,3,,1.71,CalC,
Nu18,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,500784,NA,NA,10.000,11.356,14%,4.4%,,3,,1.71,CalC,
