Nu7,,,,,,,,,,,,,,,,,
Nu7,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu7,Nu7,,Linear,1/X,Ignore,Y = 91.8679+24456.6*X   R^2 = 0.9991,,,,,,,,,,,
Nu7,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,2512013,NA,NA,100.000,102.709,3%,2.3%,Response High,1,,5.70,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,2476207,NA,NA,100.000,101.245,1%,2.3%,Response High,1,,5.72,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,2444289,NA,NA,100.000,99.940,0%,2.3%,,1,,5.73,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,2407080,NA,NA,100.000,98.419,-2%,2.3%,,1,,5.76,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,2355844,NA,NA,100.000,96.324,-4%,2.3%,,1,,5.73,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,2388246,NA,NA,100.000,97.649,-2%,2.3%,,1,,5.73,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,2374960,NA,NA,100.000,97.105,-3%,2.3%,,1,,5.79,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,2378739,NA,NA,100.000,97.260,-3%,2.3%,,1,,5.80,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,2365155,NA,NA,100.000,96.704,-3%,2.3%,,1,,5.79,CalA,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,1283948,NA,NA,50.000,52.495,5%,2.5%,,2,,5.71,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,1295005,NA,NA,50.000,52.947,6%,2.5%,,2,,5.70,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,1287850,NA,NA,50.000,52.655,5%,2.5%,,2,,5.70,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,1236999,NA,NA,50.000,50.576,1%,2.5%,,2,,5.74,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,1234809,NA,NA,50.000,50.486,1%,2.5%,,2,,5.74,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,1220521,NA,NA,50.000,49.902,0%,2.5%,,2,,5.76,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,1223280,NA,NA,50.000,50.015,0%,2.5%,,2,,5.78,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,1225442,NA,NA,50.000,50.103,0%,2.5%,,2,,5.78,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,1228464,NA,NA,50.000,50.227,0%,2.5%,,2,,5.78,CalB,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,256598,NA,NA,10.000,10.488,5%,2.7%,,3,,5.74,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,253344,NA,NA,10.000,10.355,4%,2.7%,,3,,5.74,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,265910,NA,NA,10.000,10.869,9%,2.7%,,3,,5.73,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,249023,NA,NA,10.000,10.178,2%,2.7%,,3,,5.74,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,251107,NA,NA,10.000,10.264,3%,2.7%,,3,,5.73,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,249984,NA,NA,10.000,10.218,2%,2.7%,,3,,5.74,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,249431,NA,NA,10.000,10.195,2%,2.7%,,3,,5.78,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,244059,NA,NA,10.000,9.976,0%,2.7%,,3,,5.78,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,243935,NA,NA,10.000,9.970,0%,2.7%,,3,,5.79,CalC,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,28696,NA,NA,1.000,1.170,17%,3.6%,,4,,5.76,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,27652,NA,NA,1.000,1.127,13%,3.6%,,4,,5.76,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,29249,NA,NA,1.000,1.192,19%,3.6%,,4,,5.74,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,28494,NA,NA,1.000,1.161,16%,3.6%,,4,,5.74,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,27369,NA,NA,1.000,1.115,12%,3.6%,,4,,5.73,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,27849,NA,NA,1.000,1.135,13%,3.6%,,4,,5.74,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,26704,NA,NA,1.000,1.088,9%,3.6%,,4,,5.76,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,26449,NA,NA,1.000,1.078,8%,3.6%,,4,,5.77,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,26688,NA,NA,1.000,1.087,9%,3.6%,,4,,5.77,CalD,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,11240,NA,NA,0.500,0.456,-9%,4.4%,,5,,5.75,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,11260,NA,NA,0.500,0.457,-9%,4.4%,,5,,5.76,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,11838,NA,NA,0.500,0.480,-4%,4.4%,,5,,5.76,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,10946,NA,NA,0.500,0.444,-11%,4.4%,,5,,5.75,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,12250,NA,NA,0.500,0.497,-1%,4.4%,,5,,5.75,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,10619,NA,NA,0.500,0.430,-14%,4.4%,,5,,5.76,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,11387,NA,NA,0.500,0.462,-8%,4.4%,,5,,5.77,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_08,Std Bracket Sample,,Method Settings,10863,NA,NA,0.500,0.440,-12%,4.4%,,5,,5.77,CalE,
Nu7,20181029_GM_2O-Me_Exp_Mix19_CalE_09,Std Bracket Sample,,Method Settings,11245,NA,NA,0.500,0.456,-9%,4.4%,,5,,5.77,CalE,
