Nu5,,,,,,,,,,,,,,,,,
Nu5,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu5,Nu5,,Linear,1/X,Ignore,Y = 85.5981+3261.67*X   R^2 = 0.9982,,,,,,,,,,,
Nu5,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,326680,NA,NA,100.000,100.131,0%,1.7%,Response High,1,,3.70,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,316902,NA,NA,100.000,97.133,-3%,1.7%,,1,,3.71,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,314811,NA,NA,100.000,96.492,-4%,1.7%,,1,,3.72,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,324448,NA,NA,100.000,99.447,-1%,1.7%,,1,,3.74,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,319755,NA,NA,100.000,98.008,-2%,1.7%,,1,,3.73,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,310375,NA,NA,100.000,95.132,-5%,1.7%,,1,,3.73,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,318947,NA,NA,100.000,97.760,-2%,1.7%,,1,,3.77,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,318887,NA,NA,100.000,97.742,-2%,1.7%,,1,,3.77,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,311251,NA,NA,100.000,95.401,-5%,1.7%,,1,,3.76,CalA,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,169663,NA,NA,50.000,51.991,4%,2.2%,,2,,3.71,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,175644,NA,NA,50.000,53.825,8%,2.2%,,2,,3.70,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,173100,NA,NA,50.000,53.045,6%,2.2%,,2,,3.70,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,169597,NA,NA,50.000,51.971,4%,2.2%,,2,,3.72,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,165851,NA,NA,50.000,50.822,2%,2.2%,,2,,3.74,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,163633,NA,NA,50.000,50.142,0%,2.2%,,2,,3.74,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,167508,NA,NA,50.000,51.330,3%,2.2%,,2,,3.77,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,170241,NA,NA,50.000,52.168,4%,2.2%,,2,,3.77,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,166190,NA,NA,50.000,50.926,2%,2.2%,,2,,3.77,CalB,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,34729,NA,NA,10.000,10.621,6%,3.9%,,3,,3.73,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,34748,NA,NA,10.000,10.627,6%,3.9%,,3,,3.75,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,36980,NA,NA,10.000,11.311,13%,3.9%,,3,,3.73,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,34414,NA,NA,10.000,10.525,5%,3.9%,,3,,3.71,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,32210,NA,NA,10.000,9.849,-2%,3.9%,,3,,3.72,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_06,Std Bracket Sample,,Method Settings,33998,NA,NA,10.000,10.397,4%,3.9%,,3,,3.72,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_07,Std Bracket Sample,,Method Settings,35169,NA,NA,10.000,10.756,8%,3.9%,,3,,3.75,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_08,Std Bracket Sample,,Method Settings,35661,NA,NA,10.000,10.907,9%,3.9%,,3,,3.77,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalC_09,Std Bracket Sample,,Method Settings,33389,NA,NA,10.000,10.210,2%,3.9%,,3,,3.77,CalC,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_01,Std Bracket Sample,,Method Settings,4125,NA,NA,1.000,1.238,24%,9.4%,,4,,3.76,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_02,Std Bracket Sample,,Method Settings,3916,NA,NA,1.000,1.174,17%,9.4%,,4,,3.73,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_03,Std Bracket Sample,,Method Settings,4429,NA,NA,1.000,1.332,33%,9.4%,,4,,3.74,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_04,Std Bracket Sample,,Method Settings,3773,NA,NA,1.000,1.131,13%,9.4%,,4,,3.73,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_05,Std Bracket Sample,,Method Settings,3413,NA,NA,1.000,1.020,2%,9.4%,,4,,3.73,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_06,Std Bracket Sample,,Method Settings,3700,NA,NA,1.000,1.108,11%,9.4%,,4,,3.74,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_07,Std Bracket Sample,,Method Settings,4204,NA,NA,1.000,1.263,26%,9.4%,,4,,3.77,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_08,Std Bracket Sample,,Method Settings,4440,NA,NA,1.000,1.335,34%,9.4%,,4,,3.76,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalD_09,Std Bracket Sample,,Method Settings,3559,NA,NA,1.000,1.065,7%,9.4%,,4,,3.75,CalD,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_01,Std Bracket Sample,,Method Settings,1706,NA,NA,0.500,0.497,-1%,10.7%,,5,,3.74,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_02,Std Bracket Sample,,Method Settings,1758,NA,NA,0.500,0.513,3%,10.7%,,5,,3.72,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_03,Std Bracket Sample,,Method Settings,1359,NA,NA,0.500,0.390,-22%,10.7%,,5,,3.74,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_04,Std Bracket Sample,,Method Settings,1842,NA,NA,0.500,0.538,8%,10.7%,,5,,3.74,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_05,Std Bracket Sample,,Method Settings,1502,NA,NA,0.500,0.434,-13%,10.7%,,5,,3.73,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_06,Std Bracket Sample,,Method Settings,1484,NA,NA,0.500,0.429,-14%,10.7%,,5,,3.72,CalE,
Nu5,20181029_GM_2O-Me_Exp_Mix19_CalE_07,Std Bracket Sample,,Method Settings,1796,NA,NA,0.500,0.524,5%,10.7%,,5,,3.75,CalE,
