Nu16,,,,,,,,,,,,,,,,,
Nu16,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu16,Nu16,,Linear,1/X,Ignore,Y = 231.56+43523.1*X   R^2 = 0.9978,,,,,,,,,,,
Nu16,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,4427590,NA,NA,100.000,101.724,2%,2.5%,Response High,1,,8.45,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,4312122,NA,NA,100.000,99.071,-1%,2.5%,,1,,8.46,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,4349962,NA,NA,100.000,99.941,0%,2.5%,,1,,8.48,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,4224925,NA,NA,100.000,97.068,-3%,2.5%,,1,,8.49,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,4269503,NA,NA,100.000,98.092,-2%,2.5%,,1,,8.48,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,4193139,NA,NA,100.000,96.338,-4%,2.5%,,1,,8.48,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,4154831,NA,NA,100.000,95.457,-5%,2.5%,,1,,8.54,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,4129267,NA,NA,100.000,94.870,-5%,2.5%,,1,,8.53,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,4118635,NA,NA,100.000,94.626,-5%,2.5%,,1,,8.52,CalA,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,2369084,NA,NA,50.000,54.428,9%,3.9%,,2,,8.46,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,2371676,NA,NA,50.000,54.487,9%,3.9%,,2,,8.45,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,2337257,NA,NA,50.000,53.696,7%,3.9%,,2,,8.45,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,2221848,NA,NA,50.000,51.045,2%,3.9%,,2,,8.48,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,2212267,NA,NA,50.000,50.824,2%,3.9%,,2,,8.49,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,2229973,NA,NA,50.000,51.231,2%,3.9%,,2,,8.50,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,2198191,NA,NA,50.000,50.501,1%,3.9%,,2,,8.52,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,2194227,NA,NA,50.000,50.410,1%,3.9%,,2,,8.52,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,2116120,NA,NA,50.000,48.615,-3%,3.9%,,2,,8.52,CalB,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,477466,NA,NA,10.000,10.965,10%,3.4%,,3,,8.48,CalC,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,487688,NA,NA,10.000,11.200,12%,3.4%,,3,,8.49,CalC,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,488141,NA,NA,10.000,11.210,12%,3.4%,,3,,8.47,CalC,
Nu16,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,452714,NA,NA,10.000,10.396,4%,3.4%,,3,,8.49,CalC,
