Nu3,,,,,,,,,,,,,,,,,
Nu3,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu3,Nu3,,Linear,1/X,Ignore,Y = 84.2807+53053.1*X   R^2 = 0.9979,,,,,,,,,,,
Nu3,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,5413825,NA,NA,100.000,102.044,2%,2.8%,Response High,1,,6.89,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,5340337,NA,NA,100.000,100.659,1%,2.8%,Response High,1,,6.90,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,5287279,NA,NA,100.000,99.659,0%,2.8%,,1,,6.92,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,5112613,NA,NA,100.000,96.366,-4%,2.8%,,1,,6.94,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,5166408,NA,NA,100.000,97.380,-3%,2.8%,,1,,6.93,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,5187571,NA,NA,100.000,97.779,-2%,2.8%,,1,,6.94,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,4982689,NA,NA,100.000,93.917,-6%,2.8%,,1,,6.99,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,5036950,NA,NA,100.000,94.940,-5%,2.8%,,1,,7.00,CalA,
Nu3,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,5047588,NA,NA,100.000,95.141,-5%,2.8%,,1,,6.99,CalA,
