Nu9,,,,,,,,,,,,,,,,,
Nu9,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu9,Nu9,,Linear,1/X,Ignore,Y = 94.0758+1653.01*X   R^2 = 0.9985,,,,,,,,,,,
Nu9,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,162759,NA,NA,100.000,98.405,-2%,2.1%,,1,,4.30,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,166123,NA,NA,100.000,100.440,0%,2.1%,Response High,1,,4.32,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,159250,NA,NA,100.000,96.283,-4%,2.1%,,1,,4.33,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,167129,NA,NA,100.000,101.049,1%,2.1%,Response High,1,,4.35,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,157649,NA,NA,100.000,95.314,-5%,2.1%,,1,,4.34,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,157286,NA,NA,100.000,95.094,-5%,2.1%,,1,,4.34,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,162898,NA,NA,100.000,98.489,-2%,2.1%,,1,,4.40,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,163390,NA,NA,100.000,98.787,-1%,2.1%,,1,,4.40,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,162973,NA,NA,100.000,98.535,-1%,2.1%,,1,,4.39,CalA,
Nu9,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,86369,NA,NA,50.000,52.193,4%,2.7%,,2,,4.31,CalB,
