Nu2,,,,,,,,,,,,,,,,,
Nu2,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu2,Nu2,,Linear,1/X,Ignore,Y = 210.95+25750.5*X   R^2 = 0.9955,,,,,,,,,,,
Nu2,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,2668356,NA,NA,100.000,103.615,4%,4.4%,Response High,1,,1.96,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,2575161,NA,NA,100.000,99.996,0%,4.4%,,1,,1.97,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,2593134,NA,NA,100.000,100.694,1%,4.4%,Response High,1,,1.97,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,2467418,NA,NA,100.000,95.812,-4%,4.4%,,1,,2.00,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,2483504,NA,NA,100.000,96.437,-4%,4.4%,,1,,1.98,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,2441535,NA,NA,100.000,94.807,-5%,4.4%,,1,,1.98,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,2436518,NA,NA,100.000,94.612,-5%,4.4%,,1,,2.01,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,2361756,NA,NA,100.000,91.709,-8%,4.4%,,1,,2.01,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,2339499,NA,NA,100.000,90.844,-9%,4.4%,,1,,2.01,CalA,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,1447328,NA,NA,50.000,56.198,12%,5.8%,,2,,1.97,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,1448294,NA,NA,50.000,56.235,12%,5.8%,,2,,1.96,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,1431770,NA,NA,50.000,55.593,11%,5.8%,,2,,1.96,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,1344421,NA,NA,50.000,52.201,4%,5.8%,,2,,1.98,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,1328331,NA,NA,50.000,51.577,3%,5.8%,,2,,1.98,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,1322446,NA,NA,50.000,51.348,3%,5.8%,,2,,1.98,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,1267685,NA,NA,50.000,49.221,-2%,5.8%,,2,,2.01,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,1279272,NA,NA,50.000,49.671,-1%,5.8%,,2,,2.01,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,1249038,NA,NA,50.000,48.497,-3%,5.8%,,2,,2.01,CalB,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,292288,NA,NA,10.000,11.343,13%,4.9%,,3,,1.99,CalC,
Nu2,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,296481,NA,NA,10.000,11.505,15%,4.9%,,3,,1.98,CalC,
