Nu12,,,,,,,,,,,,,,,,,
Nu12,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu12,Nu12,,Linear,1/X,Ignore,Y = 65.2783+4920.28*X   R^2 = 0.9994,,,,,,,,,,,
Nu12,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,498115,NA,NA,100.000,101.224,1%,1.4%,Response High,1,,3.42,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,483414,NA,NA,100.000,98.236,-2%,1.4%,,1,,3.44,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,478276,NA,NA,100.000,97.192,-3%,1.4%,,1,,3.45,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,478468,NA,NA,100.000,97.231,-3%,1.4%,,1,,3.49,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,483520,NA,NA,100.000,98.257,-2%,1.4%,,1,,3.46,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,489434,NA,NA,100.000,99.459,-1%,1.4%,,1,,3.46,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,495821,NA,NA,100.000,100.758,1%,1.4%,Response High,1,,3.53,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,487093,NA,NA,100.000,98.984,-1%,1.4%,,1,,3.53,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,485845,NA,NA,100.000,98.730,-1%,1.4%,,1,,3.52,CalA,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,254755,NA,NA,50.000,51.763,4%,1.2%,,2,,3.44,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,245943,NA,NA,50.000,49.972,0%,1.2%,,2,,3.41,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,255836,NA,NA,50.000,51.983,4%,1.2%,,2,,3.42,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,252711,NA,NA,50.000,51.348,3%,1.2%,,2,,3.46,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,248946,NA,NA,50.000,50.583,1%,1.2%,,2,,3.47,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,253076,NA,NA,50.000,51.422,3%,1.2%,,2,,3.49,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,251940,NA,NA,50.000,51.191,2%,1.2%,,2,,3.51,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,249948,NA,NA,50.000,50.786,2%,1.2%,,2,,3.51,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,252065,NA,NA,50.000,51.217,2%,1.2%,,2,,3.53,CalB,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,49667,NA,NA,10.000,10.081,1%,1.5%,,3,,3.45,CalC,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,48647,NA,NA,10.000,9.874,-1%,1.5%,,3,,3.49,CalC,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,49614,NA,NA,10.000,10.070,1%,1.5%,,3,,3.46,CalC,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,48796,NA,NA,10.000,9.904,-1%,1.5%,,3,,3.44,CalC,
Nu12,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,48184,NA,NA,10.000,9.780,-2%,1.5%,,3,,3.45,CalC,
