Nu6,,,,,,,,,,,,,,,,,
Nu6,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Nu6,Nu6,,Linear,1/X,Ignore,Y = 87.9797+3669.25*X   R^2 = 0.9991,,,,,,,,,,,
Nu6,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_01,Std Bracket Sample,,Method Settings,378624,NA,NA,100.000,103.164,3%,1.7%,Response High,1,,4.68,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_02,Std Bracket Sample,,Method Settings,371162,NA,NA,100.000,101.131,1%,1.7%,Response High,1,,4.71,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_03,Std Bracket Sample,,Method Settings,365639,NA,NA,100.000,99.626,0%,1.7%,,1,,4.71,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_04,Std Bracket Sample,,Method Settings,366179,NA,NA,100.000,99.773,0%,1.7%,,1,,4.74,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_05,Std Bracket Sample,,Method Settings,362896,NA,NA,100.000,98.878,-1%,1.7%,,1,,4.73,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_06,Std Bracket Sample,,Method Settings,369325,NA,NA,100.000,100.630,1%,1.7%,Response High,1,,4.73,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_07,Std Bracket Sample,,Method Settings,371580,NA,NA,100.000,101.245,1%,1.7%,Response High,1,,4.79,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_08,Std Bracket Sample,,Method Settings,356308,NA,NA,100.000,97.083,-3%,1.7%,,1,,4.79,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalA_09,Std Bracket Sample,,Method Settings,365935,NA,NA,100.000,99.706,0%,1.7%,,1,,4.79,CalA,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_01,Std Bracket Sample,,Method Settings,192231,NA,NA,50.000,52.366,5%,3.2%,,2,,4.69,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_02,Std Bracket Sample,,Method Settings,191165,NA,NA,50.000,52.075,4%,3.2%,,2,,4.68,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_03,Std Bracket Sample,,Method Settings,188088,NA,NA,50.000,51.237,2%,3.2%,,2,,4.68,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_04,Std Bracket Sample,,Method Settings,178323,NA,NA,50.000,48.575,-3%,3.2%,,2,,4.73,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_05,Std Bracket Sample,,Method Settings,178021,NA,NA,50.000,48.493,-3%,3.2%,,2,,4.74,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_06,Std Bracket Sample,,Method Settings,184132,NA,NA,50.000,50.159,0%,3.2%,,2,,4.75,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_07,Std Bracket Sample,,Method Settings,183689,NA,NA,50.000,50.038,0%,3.2%,,2,,4.78,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_08,Std Bracket Sample,,Method Settings,177140,NA,NA,50.000,48.253,-3%,3.2%,,2,,4.78,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalB_09,Std Bracket Sample,,Method Settings,179482,NA,NA,50.000,48.891,-2%,3.2%,,2,,4.79,CalB,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_01,Std Bracket Sample,,Method Settings,37616,NA,NA,10.000,10.228,2%,3.4%,,3,,4.72,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_02,Std Bracket Sample,,Method Settings,36369,NA,NA,10.000,9.888,-1%,3.4%,,3,,4.74,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_03,Std Bracket Sample,,Method Settings,37850,NA,NA,10.000,10.292,3%,3.4%,,3,,4.73,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_04,Std Bracket Sample,,Method Settings,35530,NA,NA,10.000,9.659,-3%,3.4%,,3,,4.72,CalC,
Nu6,20181029_GM_2O-Me_Exp_Mix19_CalC_05,Std Bracket Sample,,Method Settings,35689,NA,NA,10.000,9.703,-3%,3.4%,,3,,4.72,CalC,
